arxiv_id,title,authors,src,url,pub_date,upd_date,doi,abstract
1901.05200,Construction of RG improved effective potential in a two real scalar system,['Hideaki Ookane'],ARXIV,http://arxiv.org/pdf/1901.05200v3,2019-01-16T09:56:19Z,2019-02-27T12:12:03Z,"['10.48550/arXiv.1901.05200', '10.1093/ptep/ptz022']","We study the improvement of effective potential by renormalization group (RG) equation in a two real scalar system. We clarify the logarithmic structure of the effective potential in this model. Based on the analysis of the logarithmic structure of it, we find that the RG improved effective potential up to $L$-th-to-leading log order can be calculated by the $L$-loop effective potential and $(L+1)$-loop $\beta$ and $\gamma$ functions. To obtain the RG improved effective potential, we choose the mass eigenvalue as a renormalization scale. If another logarithm at the renormalization scale is large, we decouple the heavy particle from the RG equation and we must modify the RG improved effective potential. In this paper we treat such a situation and evaluate the RG improved effective potential. Although this method was previously developed in a single scalar case, we implement the method in a two real scalar system. The feature of this method is that the choice of the renormalization scale does't change even in a calculation of higher leading log order. Following the our method one can derive the RG improved effective potential in a multiple scalar model."
1901.05201,Enhancing power grid synchronization and stability through time delayed feedback control,"['Halgurd Taher', 'Simona Olmi', 'Eckehard Schöll']",ARXIV,http://arxiv.org/pdf/1901.05201v2,2019-01-16T09:57:51Z,2019-08-21T15:47:43Z,"['10.48550/arXiv.1901.05201', '10.1103/PhysRevE.100.062306']","We study the synchronization and stability of power grids within the Kuramoto phase oscillator model with inertia with a bimodal frequency distribution representing the generators and the loads. We identify critical nodes through solitary frequency deviations and Lyapunov vectors corresponding to unstable Lyapunov exponents. To cure dangerous deviations from synchronization we propose time-delayed feedback control, which is an efficient control concept in nonlinear dynamic systems. Different control strategies are tested and compared with respect to the minimum number of controlled nodes required to achieve synchronization and Lyapunov stability. As a proof of principle, this fast-acting control method is demonstrated using a model of the German power transmission grid."
1901.05202,Anisotropic Structural Predictor in Glassy Materials,"['Zohar Schwartzman-Nowik', 'Edan Lerner', 'Eran Bouchbinder']",ARXIV,http://arxiv.org/pdf/1901.05202v1,2019-01-16T10:00:18Z,2019-01-16T10:00:18Z,"['10.48550/arXiv.1901.05202', '10.1103/PhysRevE.99.060601']","There is a growing evidence that relaxation in glassy materials, both spontaneous and externally driven, is mediated by localized soft spots. Recent progress made it possible to identify the soft spots inside glassy structures and to quantify their degree of softness. These softness measures, however, are typically scalars, not taking into account the tensorial/anisotropic nature of soft spots, which implies orientation-dependent coupling to external deformation. Here we derive from first principles the linear response coupling between the local heat capacity of glasses, previously shown to provide a measure of glassy softness, and external deformation in different directions. We first show that this linear response quantity follows an anomalous, fat-tailed distribution related to the universal $\omega^4$ density of states of quasilocalized, nonphononic excitations in glasses. We then construct a structural predictor as the product of the local heat capacity and its linear response to external deformation, and show that it offers enhanced predictability of plastic rearrangements under deformation in different directions, compared to the purely scalar predictor."
1901.05203,Deep Grid Net (DGN): A Deep Learning System for Real-Time Driving Context Understanding,"['Liviu Marina', 'Bogdan Trasnea', 'Cocias Tiberiu', 'Andrei Vasilcoi', 'Florin Moldoveanu', 'Sorin Grigorescu']",ARXIV,http://arxiv.org/pdf/1901.05203v1,2019-01-16T10:03:08Z,2019-01-16T10:03:08Z,['10.48550/arXiv.1901.05203'],"Grid maps obtained from fused sensory information are nowadays among the most popular approaches for motion planning for autonomous driving cars. In this paper, we introduce Deep Grid Net (DGN), a deep learning (DL) system designed for understanding the context in which an autonomous car is driving. DGN incorporates a learned driving environment representation based on Occupancy Grids (OG) obtained from raw Lidar data and constructed on top of the Dempster-Shafer (DS) theory. The predicted driving context is further used for switching between different driving strategies implemented within EB robinos, Elektrobit's Autonomous Driving (AD) software platform. Based on genetic algorithms (GAs), we also propose a neuroevolutionary approach for learning the tuning hyperparameters of DGN. The performance of the proposed deep network has been evaluated against similar competing driving context estimation classifiers."
1901.05204,On the continuous time limit of the Ensemble Kalman Filter,"['Theresa Lange', 'Wilhelm Stannat']",ARXIV,http://arxiv.org/pdf/1901.05204v1,2019-01-16T10:14:38Z,2019-01-16T10:14:38Z,"['10.48550/arXiv.1901.05204', '10.1090/mcom/3588']","We present recent results on the existence of a continuous time limit for Ensemble Kalman Filter algorithms. In the setting of continuous signal and observation processes, we apply the original Ensemble Kalman Filter algorithm proposed by [1] as well as a recent variant [2] to the respective discretizations and show that in the limit of decreasing stepsize the filter equations converge to an ensemble of interacting (stochastic) differential equations in the ensemble-mean-square sense. Our analysis also allows for the derivation of convergence rates with respect to the stepsize. An application of our analysis is the rigorous derivation of continuous ensemble filtering algorithms consistent with discrete approximation schemes. Conversely, the continuous time limit allows for a better qualitative and quantitative analysis of the time-discrete counterparts using the rich theory of dynamical systems in continuous time. [1] Burgers, G., van Leeuwen, P. J., Evensen, G. (1998). Analysis scheme in the ensemble Kalman filter. Monthly weather review, 126(6), 1719-1724. [2] de Wiljes, J., Reich, S., Stannat, W. (2018). Long-Time Stability and Accuracy of the Ensemble Kalman-Bucy Filter for Fully Observed Processes and Small Measurement Noise. SIAM Journal on Applied Dynamical Systems, 17(2), 1152-1181."
1901.05205,Adaptive Learning-Based Task Offloading for Vehicular Edge Computing Systems,"['Yuxuan Sun', 'Xueying Guo', 'Jinhui Song', 'Sheng Zhou', 'Zhiyuan Jiang', 'Xin Liu', 'Zhisheng Niu']",ARXIV,http://arxiv.org/pdf/1901.05205v1,2019-01-16T10:15:02Z,2019-01-16T10:15:02Z,['10.48550/arXiv.1901.05205'],"The vehicular edge computing (VEC) system integrates the computing resources of vehicles, and provides computing services for other vehicles and pedestrians with task offloading. However, the vehicular task offloading environment is dynamic and uncertain, with fast varying network topologies, wireless channel states and computing workloads. These uncertainties bring extra challenges to task offloading. In this work, we consider the task offloading among vehicles, and propose a solution that enables vehicles to learn the offloading delay performance of their neighboring vehicles while offloading computation tasks. We design an adaptive learning-based task offloading (ALTO) algorithm based on the multi-armed bandit (MAB) theory, in order to minimize the average offloading delay. ALTO works in a distributed manner without requiring frequent state exchange, and is augmented with input-awareness and occurrence-awareness to adapt to the dynamic environment. The proposed algorithm is proved to have a sublinear learning regret. Extensive simulations are carried out under both synthetic scenario and realistic highway scenario, and results illustrate that the proposed algorithm achieves low delay performance, and decreases the average delay up to 30% compared with the existing upper confidence bound based learning algorithm."
1901.05206,Spaces of directed paths on pre-cubical sets II,['Krzysztof Ziemiański'],ARXIV,http://arxiv.org/pdf/1901.05206v1,2019-01-16T10:16:37Z,2019-01-16T10:16:37Z,['10.48550/arXiv.1901.05206'],"For a given pre-cubical set ($\square$--set) $K$ with two distinguished vertices $\bO$, $\bI$, we prove that the space $\vP(K)_\bO^\bI$ of d-paths on the geometric realization of $K$ with source $\bO$ and target $\bI$ is homotopy equivalent to its subspace $\vP^t(K)_\bO^\bI$ of tame d-paths. When $K$ is the underlying $\square$--set of a Higher Dimensional Automaton $A$, tame d-paths on $K$ represent step executions of $A$. Then, we define the cube chain category of $K$ and prove that its nerve is weakly homotopy equivalent to $\vP(K)_\bO^\bI$."
1901.05207,Recent insights on the penumbra formation process,"['M. Murabito', 'P. Romano', 'F. Zuccarello', 'S. L. Guglielmino']",ARXIV,http://arxiv.org/pdf/1901.05207v1,2019-01-16T10:16:49Z,2019-01-16T10:16:49Z,"['10.48550/arXiv.1901.05207', '10.1393/ncc/i2019-19011-4']","Using high-resolution spectropolarimetric data acquired by \textit{IBIS}, as well as \textit{SDO}/HMI observations, we studied the penumbra formation in AR NOAA 11490 and in a sample of twelve ARs appeared on the solar disk on 2011 and 2012, which were characterized by $\beta$-type magnetic field configuration. The results show that the onset of the classical Evershed flow occurs in a very short time scale, 1-3 hours. Studying the formation of the first penumbral sector around the following proto-spot, we found that a stable penumbra forms in the area facing the opposite polarity, which appears to be co-spatial with an AFS, i.e. in a flux emergence region, in contrast with the results of \cite{Schlichenmaier2010} concerning the leading polarity of AR NOAA 11490. Conversely, analyzing the sample of twelve ARs, we noticed that there is not a preferred location for the formation of the first penumbral sector. We also observed before the penumbra formation an inverse Evershed flow, which changes its sign when the penumbra appears. This confirms the observational evidence that the appearance of the penumbral filaments is correlated with the transition from the inverse Evershed to the classical Evershed flow. Furthermore, the analysis suggests that the time needed to form the penumbra may be related to the location where the penumbra first appears. New high-resolution observations, like those that will be provided by the European Solar Telescope, are expected to increase our understanding of the penumbra formation process."
1901.05208,On-the-fly ab initio three thawed Gaussians approximation: A semiclassical approach to Herzberg-Teller spectra,"['Tomislav Begušić', 'Aurélien Patoz', 'Miroslav Šulc', 'Jiří Vaníček']",ARXIV,http://arxiv.org/pdf/1901.05208v1,2019-01-16T10:18:44Z,2019-01-16T10:18:44Z,"['10.48550/arXiv.1901.05208', '10.1016/j.chemphys.2018.08.003']","Evaluation of symmetry-forbidden or weakly-allowed vibronic spectra requires treating the transition dipole moment beyond the Condon approximation. To include vibronic spectral features not captured in the global harmonic models, we have recently implemented an on-the-fly ab initio extended thawed Gaussian approximation, where the propagated wavepacket is a Gaussian multiplied by a linear polynomial. To include more anharmonic effects, here we represent the initial wavepacket by a superposition of three independent Gaussian wavepackets - one for the Condon term and two displaced Gaussians for the Herzberg-Teller part. Application of this ab initio ""three thawed Gaussians approximation"" to vibrationally resolved electronic spectra of the phenyl radical and benzene shows a clear improvement over the global harmonic and Condon approximations. The orientational averaging of spectra, the relation between the gradient of the transition dipole moment and nonadiabatic coupling vectors, and the details of the extended and three thawed Gaussians approximation are discussed."
1901.05209,The 2014 TeV Gamma-ray Flare of Mrk 501 Seen with H.E.S.S.: Temporal and Spectral Constraints on Lorentz Invariance Violation,"['H. E. S. S. Collaboration', ' :', 'H. Abdalla', 'F. Aharonian', 'F. Ait Benkhali', 'E. O. Angüner', 'M. Arakawa', 'C. Arcaro', 'C. Armand', 'M. Arrieta', 'M. Backes', 'M. Barnard', 'Y. Becherini', 'J. Becker Tjus', 'D. Berge', 'S. Bernhard', 'K. Bernlöhr', 'R. Blackwell', 'M. Böttcher', 'C. Boisson', 'J. Bolmont', 'S. Bonnefoy', 'P. Bordas', 'J. Bregeon', 'F. Brun', 'P. Brun', 'M. Bryan', 'M. Büchele', 'T. Bulik', 'T. Bylund', 'M. Capasso', 'S. Caroff', 'A. Carosi', 'S. Casanova', 'M. Cerruti', 'N. Chakraborty', 'S. Chandra', 'R. C. G. Chaves', 'A. Chen', 'S. Colafrancesco', 'B. Condon', 'I. D. Davids', 'C. Deil', 'J. Devin', 'P. deWilt', 'L. Dirson', 'A. Djannati-Ataï', 'A. Dmytriiev', 'A. Donath', ""L. O'C. Drury"", 'J. Dyks', 'K. Egberts', 'G. Emery', 'J. -P. Ernenwein', 'S. Eschbach', 'S. Fegan', 'A. Fiasson', 'G. Fontaine', 'S. Funk', 'M. Füßling', 'S. Gabici', 'Y. A. Gallant', 'T. Garrigoux', 'F. Gaté', 'G. Giavitto', 'D. Glawion', 'J. F. Glicenstein', 'D. Gottschall', 'M. -H. Grondin', 'J. Hahn', 'M. Haupt', 'G. Heinzelmann', 'G. Henri', 'G. Hermann', 'J. A. Hinton', 'W. Hofmann', 'C. Hoischen', 'T. L. Holch', 'M. Holler', 'D. Horns', 'D. Huber', 'H. Iwasaki', 'A. Jacholkowska', 'M. Jamrozy', 'D. Jankowsky', 'F. Jankowsky', 'L. Jouvin', 'I. Jung-Richardt', 'M. A. Kastendieck', 'K. Katarzyński', 'M. Katsuragawa', 'U. Katz', 'D. Kerszberg', 'D. Khangulyan', 'B. Khélifi', 'J. King', 'S. Klepser', 'W. Kluźniak', 'Nu. Komin', 'K. Kosack', 'S. Krakau', 'M. Kraus', 'P. P. Krüger', 'G. Lamanna', 'J. Lau', 'J. Lefaucheur', 'A. Lemière', 'M. Lemoine-Goumard', 'J. -P. Lenain', 'E. Leser', 'T. Lohse', 'M. Lorentz', 'R. López-Coto', 'I. Lypova', 'D. Malyshev', 'V. Marandon', 'A. Marcowith', 'C. Mariaud', 'G. Guillem Martí-Devesa', 'R. Marx', 'G. Maurin', 'P. J. Meintjes', 'A. M. W. Mitchell', 'R. Moderski', 'M. Mohamed', 'L. Mohrmann', 'E. Moulin', 'T. Murach', 'S. Nakashima', 'M. de Naurois', 'H. Ndiyavala', 'F. Niederwanger', 'J. Niemiec', 'L. Oakes', ""P. O'Brien"", 'H. Odaka', 'S. Ohm', 'M. Ostrowski', 'I. Oya', 'M. Padovani', 'M. Panter', 'R. D. Parsons', 'C. Perennes', 'P. -O. Petrucci', 'B. Peyaud', 'Q. Piel', 'S. Pita', 'V. Poireau', 'A. Priyana Noel', 'D. A. Prokhorov', 'H. Prokoph', 'G. Pühlhofer', 'M. Punch', 'A. Quirrenbach', 'S. Raab', 'R. Rauth', 'A. Reimer', 'O. Reimer', 'M. Renaud', 'F. Rieger', 'L. Rinchiuso', 'C. Romoli', 'G. Rowell', 'B. Rudak', 'E. Ruiz-Velasco', 'V. Sahakian', 'S. Saito', 'D. A. Sanchez', 'A. Santangelo', 'M. Sasaki', 'R. Schlickeiser', 'F. Schüssler', 'A. Schulz', 'U. Schwanke', 'S. Schwemmer', 'M. Seglar-Arroyo', 'M. Senniappan', 'A. S. Seyffert', 'N. Shafi', 'I. Shilon', 'K. Shiningayamwe', 'R. Simoni', 'A. Sinha', 'H. Sol', 'F. Spanier', 'A. Specovius', 'M. Spir-Jacob', 'Ł. Stawarz', 'R. Steenkamp', 'C. Stegmann', 'C. Steppa', 'I. Sushch', 'T. Takahashi', 'J. -P. Tavernet', 'T. Tavernier', 'A. M. Taylor', 'R. Terrier', 'L. Tibaldo', 'D. Tiziani', 'M. Tluczykont', 'C. Trichard', 'M. Tsirou', 'N. Tsuji', 'R. Tuffs', 'Y. Uchiyama', 'D. J. van der Walt', 'C. van Eldik', 'C. van Rensburg', 'B. van Soelen', 'G. Vasileiadis', 'J. Veh', 'C. Venter', 'A. Viana', 'P. Vincent', 'J. Vink', 'F. Voisin', 'H. J. Völk', 'T. Vuillaume', 'Z. Wadiasingh', 'S. J. Wagner', 'P. Wagner', 'R. M. Wagner', 'R. White', 'A. Wierzcholska', 'A. Wörnlein', 'R. Yang', 'D. Zaborov', 'M. Zacharias', 'R. Zanin', 'A. A. Zdziarski', 'A. Zech', 'F. Zefi', 'A. Ziegler', 'J. Zorn', 'N. Żywucka']",ARXIV,http://arxiv.org/pdf/1901.05209v1,2019-01-16T10:19:50Z,2019-01-16T10:19:50Z,"['10.48550/arXiv.1901.05209', '10.3847/1538-4357/aaf1c4']","The blazar Mrk 501 (z=0.034) was observed at very-high-energy (VHE, $E\gtrsim 100$~GeV) gamma-ray wavelengths during a bright flare on the night of 2014 June 23-24 (MJD 56832) with the H.E.S.S. phase-II array of Cherenkov telescopes. Data taken that night by H.E.S.S. at large zenith angle reveal an exceptional number of gamma-ray photons at multi-TeV energies, with rapid flux variability and an energy coverage extending significantly up to 20 TeV. This data set is used to constrain Lorentz invariance violation (LIV) using two independent channels: a temporal approach considers the possibility of an energy dependence in the arrival time of gamma rays, whereas a spectral approach considers the possibility of modifications to the interaction of VHE gamma rays with extragalactic background light (EBL) photons. The non-detection of energy-dependent time delays and the non-observation of deviations between the measured spectrum and that of a supposed power-law intrinsic spectrum with standard EBL attenuation are used independently to derive strong constraints on the energy scale of LIV ($E_{\rm{QG}}$) in the subluminal scenario for linear and quadratic perturbations in the dispersion relation of photons. For the case of linear perturbations, the 95% confidence level limits obtained are $E_{\rm{QG},1} > 3.6 \times 10^{17} \ \rm{GeV} $ using the temporal approach and $E_{\rm{QG},1} > 2.6 \times 10^{19} \ \rm{GeV}$ using the spectral approach. For the case of quadratic perturbations, the limits obtained are $E_{\rm{QG},2} > 8.5 \times 10^{10} \ \rm{GeV} $ using the temporal approach and $E_{\rm{QG},2} > 7.8 \times 10^{11} \rm{ GeV}$ using the spectral approach."
